card_id,name,scheme_type,members_count,monthly_entitlement_kg,monthly_rice_kg,monthly_wheat_kg,language,home_fps_id
RC-KA-000001,Deepa Reddy,PHH,2,10,0,10,hi,FPS-KA-BAG-0001
RC-KA-000002,Swathi Joshi,PHH,3,15,0,15,kn,FPS-KA-BAG-0002
RC-KA-000003,Aarav Gowda,PHH,2,10,10,0,kn,FPS-KA-BAG-0003
RC-KA-000004,Aarav Joshi,PHH,4,20,5,15,kn,FPS-KA-BAG-0004
RC-KA-000005,Manoj Sharma,PHH,4,20,20,0,kn,FPS-KA-BAG-0005
RC-KA-000006,Bhavana Bhat,PHH,5,25,0,25,hi,FPS-KA-BAG-0006
RC-KA-000007,Chetan Rao,PHH,7,35,25,10,kn,FPS-KA-BAG-0007
RC-KA-000008,Ananya Hegde,PHH,6,30,0,30,kn,FPS-KA-BAG-0008
RC-KA-000009,Aditi Bhat,PHH,6,30,20,10,kn,FPS-KA-BAG-0009
RC-KA-000010,Vijay Kulkarni,PHH,8,40,40,0,kn,FPS-KA-BAG-0010
RC-KA-000011,Rahul Sharma,PHH,2,10,10,0,kn,FPS-KA-BAG-0011
RC-KA-000012,Akash Patil,PHH,6,30,20,10,kn,FPS-KA-BAG-0012
RC-KA-000013,Suresh Reddy,PHH,4,20,10,10,en,FPS-KA-BAG-0013
RC-KA-000014,Rahul Kumar,PHH,2,10,5,5,kn,FPS-KA-BAG-0014
RC-KA-000015,Chetan Poojary,PHH,6,30,5,25,kn,FPS-KA-BAG-0015
RC-KA-000016,Rahul Gowda,PHH,5,25,25,0,en,FPS-KA-BAG-0016
RC-KA-000017,Kiran Naik,PHH,3,15,5,10,kn,FPS-KA-BAG-0017
RC-KA-000018,Shalini Patil,PHH,4,20,10,10,hi,FPS-KA-BAG-0018
RC-KA-000019,Kiran Naik,PHH,4,20,0,20,hi,FPS-KA-BAG-0019
RC-KA-000020,Prakash Nayak,PHH,2,10,0,10,en,FPS-KA-BAG-0020
RC-KA-000021,Kiran Nayak,PHH,6,30,5,25,kn,FPS-KA-BAL-0001
RC-KA-000022,Deepa Bhat,PHH,8,40,10,30,kn,FPS-KA-BAL-0002
RC-KA-000023,Swathi Sharma,PHH,5,25,25,0,kn,FPS-KA-BAL-0003
RC-KA-000024,Arjun Joshi,PHH,7,35,25,10,kn,FPS-KA-BAL-0004
RC-KA-000025,Suresh Gowda,PHH,8,40,5,35,hi,FPS-KA-BAL-0005
RC-KA-000026,Lakshmi Sharma,PHH,3,15,5,10,hi,FPS-KA-BAL-0006
RC-KA-000027,Manoj Joshi,PHH,2,10,5,5,kn,FPS-KA-BAL-0007
RC-KA-000028,Aarav Poojary,PHH,5,25,20,5,en,FPS-KA-BAL-0008
RC-KA-000029,Shalini Naik,PHH,2,10,10,0,en,FPS-KA-BAL-0009
RC-KA-000030,Bhavana Desai,PHH,6,30,0,30,kn,FPS-KA-BAL-0010
RC-KA-000031,Shalini Shetty,PHH,1,5,5,0,en,FPS-KA-BAL-0011
RC-KA-000032,Rahul Joshi,PHH,2,10,10,0,kn,FPS-KA-BAL-0012
RC-KA-000033,Bhavana Joshi,PHH,4,20,5,15,kn,FPS-KA-BAL-0013
RC-KA-000034,Ananya Nayak,PHH,1,5,5,0,kn,FPS-KA-BAL-0014
RC-KA-000035,Deepa Patil,PHH,6,30,30,0,hi,FPS-KA-BAL-0015
RC-KA-000036,Akash Bhat,PHH,4,20,20,0,en,FPS-KA-BAL-0016
RC-KA-000037,Pooja Rao,PHH,8,40,5,35,en,FPS-KA-BAL-0017
RC-KA-000038,Pooja Shetty,PHH,3,15,5,10,kn,FPS-KA-BAL-0018
RC-KA-000039,Lakshmi Reddy,PHH,5,25,20,5,en,FPS-KA-BAL-0019
RC-KA-000040,Ravi Poojary,PHH,4,20,10,10,kn,FPS-KA-BAL-0020
RC-KA-000041,Manoj Gowda,PHH,6,30,15,15,en,FPS-KA-BEL-0001
RC-KA-000042,Aarav Sharma,PHH,4,20,5,15,kn,FPS-KA-BEL-0002
RC-KA-000043,Akash Bhat,PHH,4,20,20,0,kn,FPS-KA-BEL-0003
RC-KA-000044,Aditi Kumar,PHH,1,5,0,5,kn,FPS-KA-BEL-0004
RC-KA-000045,Divya Poojary,PHH,6,30,0,30,kn,FPS-KA-BEL-0005
RC-KA-000046,Sanjay Nayak,PHH,8,40,15,25,kn,FPS-KA-BEL-0006
RC-KA-000047,Shankar Kulkarni,PHH,8,40,15,25,hi,FPS-KA-BEL-0007
RC-KA-000048,Lakshmi Hegde,PHH,4,20,0,20,kn,FPS-KA-BEL-0008
RC-KA-000049,Sanjay Patil,PHH,7,35,30,5,kn,FPS-KA-BEL-0009
RC-KA-000050,Harish Rao,PHH,2,10,0,10,kn,FPS-KA-BEL-0010
RC-KA-000051,Pooja Desai,PHH,2,10,0,10,kn,FPS-KA-BEL-0011
RC-KA-000052,Manoj Reddy,PHH,3,15,15,0,kn,FPS-KA-BEL-0012
RC-KA-000053,Suresh Joshi,PHH,2,10,5,5,hi,FPS-KA-BEL-0013
RC-KA-000054,Pooja Kumar,PHH,2,10,0,10,kn,FPS-KA-BEL-0014
RC-KA-000055,Suresh Reddy,PHH,1,5,0,5,en,FPS-KA-BEL-0015
RC-KA-000056,Chetan Kumar,PHH,3,15,15,0,kn,FPS-KA-BEL-0016
RC-KA-000057,Aarav Kulkarni,PHH,7,35,0,35,kn,FPS-KA-BEL-0017
RC-KA-000058,Rekha Bhat,PHH,5,25,15,10,kn,FPS-KA-BEL-0018
RC-KA-000059,Chetan Patil,PHH,8,40,10,30,kn,FPS-KA-BEL-0019
RC-KA-000060,Prakash Desai,PHH,1,5,5,0,kn,FPS-KA-BEL-0020
RC-KA-000061,Akash Kumar,PHH,3,15,0,15,en,FPS-KA-BLR-R-0001
RC-KA-000062,Ravi Kumar,PHH,3,15,0,15,kn,FPS-KA-BLR-R-0002
RC-KA-000063,Swathi Sharma,PHH,4,20,15,5,kn,FPS-KA-BLR-R-0003
RC-KA-000064,Priya Gowda,PHH,4,20,20,0,kn,FPS-KA-BLR-R-0004
RC-KA-000065,Chetan Poojary,PHH,7,35,25,10,en,FPS-KA-BLR-R-0005
RC-KA-000066,Arjun Poojary,PHH,6,30,5,25,kn,FPS-KA-BLR-R-0006
RC-KA-000067,Shalini Nayak,PHH,5,25,15,10,kn,FPS-KA-BLR-R-0007
RC-KA-000068,Prakash Gowda,PHH,2,10,0,10,kn,FPS-KA-BLR-R-0008
RC-KA-000069,Divya Shetty,PHH,2,10,10,0,kn,FPS-KA-BLR-R-0009
RC-KA-000070,Kavya Naik,PHH,6,30,0,30,en,FPS-KA-BLR-R-0010
RC-KA-000071,Rekha Naik,PHH,3,15,15,0,hi,FPS-KA-BLR-R-0011
RC-KA-000072,Ananya Nayak,PHH,1,5,5,0,en,FPS-KA-BLR-R-0012
RC-KA-000073,Ananya Bhat,PHH,3,15,10,5,kn,FPS-KA-BLR-R-0013
RC-KA-000074,Chetan Bhat,PHH,3,15,10,5,kn,FPS-KA-BLR-R-0014
RC-KA-000075,Suresh Naik,PHH,6,30,5,25,kn,FPS-KA-BLR-R-0015
RC-KA-000076,Suresh Patil,PHH,8,40,20,20,en,FPS-KA-BLR-R-0016
RC-KA-000077,Divya Patil,PHH,2,10,10,0,kn,FPS-KA-BLR-R-0017
RC-KA-000078,Rahul Naik,PHH,1,5,5,0,hi,FPS-KA-BLR-R-0018
RC-KA-000079,Lakshmi Joshi,PHH,3,15,15,0,kn,FPS-KA-BLR-R-0019
RC-KA-000080,Swathi Bhat,PHH,1,5,0,5,kn,FPS-KA-BLR-R-0020
RC-KA-000081,Prakash Joshi,PHH,3,15,0,15,hi,FPS-KA-BLR-U-0001
RC-KA-000082,Ganesh Hegde,PHH,3,15,15,0,kn,FPS-KA-BLR-U-0002
RC-KA-000083,Deepa Poojary,PHH,1,5,5,0,kn,FPS-KA-BLR-U-0003
RC-KA-000084,Swathi Kumar,PHH,2,10,5,5,hi,FPS-KA-BLR-U-0004
RC-KA-000085,Deepa Kumar,PHH,7,35,10,25,en,FPS-KA-BLR-U-0005
RC-KA-000086,Aarav Shetty,PHH,3,15,5,10,en,FPS-KA-BLR-U-0006
RC-KA-000087,Shankar Poojary,PHH,6,30,30,0,en,FPS-KA-BLR-U-0007
RC-KA-000088,Rekha Gowda,PHH,4,20,10,10,kn,FPS-KA-BLR-U-0008
RC-KA-000089,Deepa Reddy,PHH,7,35,0,35,en,FPS-KA-BLR-U-0009
